0,0
1,0
2,0
3,0
4,0
5,0.000733
6,0.00313
7,0.007103
8,0.01312
9,0.0202
10,0.027795
11,0.035006
12,0.041829
13,0.046604
14,0.050474
15,0.052411
16,0.052895
17,0.05264
18,0.051174
19,0.048953
20,0.046173
21,0.04301
22,0.039959
23,0.036914
24,0.034089
25,0.030792
26,0.028023
27,0.024882
28,0.022577
29,0.020143
30,0.018042
31,0.016297
32,0.014507
33,0.012883
34,0.011863
35,0.010702
36,0.009282
37,0.00822
38,0.007515
39,0.006708
40,0.005794
41,0.005178
42,0.004668
43,0.004222
44,0.003758
45,0.003249
46,0.003051
47,0.002597
48,0.00241
49,0.002065
50,0.001945
51,0.001669
52,0.001542
53,0.00132
54,0.001086
55,0.001071
56,0.000926
57,0.000848
58,0.000726
59,0.000625
60,0.00058
61,0.000492
62,0.000417
63,0.000393
64,0.000327
65,0.000315
66,0.000245
67,0.000231
68,0.000188
69,0.000197
70,0.000164
71,0.00012
72,0.000118
73,8.80E-05
74,0.000101
75,8.60E-05
76,8.30E-05
77,5.20E-05
78,5.50E-05
79,3.30E-05
80,4.80E-05
81,3.90E-05
82,2.60E-05
83,2.80E-05
84,2.20E-05
85,1.80E-05
86,2.30E-05
87,1.90E-05
88,8.00E-06
89,9.00E-06
90,1.10E-05
91,8.00E-06
92,7.00E-06
93,8.00E-06
94,1.10E-05
95,8.00E-06
96,1.00E-06
97,1.00E-06
98,5.00E-06
99,0
100,0
101,3.00E-06
102,0
103,2.00E-06
104,1.00E-06
105,1.00E-06
106,2.00E-06
107,4.00E-06
108,1.00E-06
109,1.00E-06
110,0
111,1.00E-06
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,1.00E-06
